index,rating,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,llama3:8b,llama3:70b,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,FP_FN_count
0,True,TP,FN,TP,FN,apollo,project.modelVersion,apollo-audit/apollo-audit-api/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,apollo-biz/pom.xml,VERSION_NUMBER,maven,2
4,False,FP,FP,FP,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-api/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.parent_apollo.groupId,com.ctrip.framework.apollo,apollo-configservice/pom.xml,NAME,maven,4
5,False,FP,FP,FP,FP,apollo,project.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.version,version:${revision},apollo-audit/apollo-audit-spring-boot-starter/pom.xml,VERSION_NUMBER,maven,4
7,True,FN,TP,TP,FN,apollo,project.parent_apollo.groupId,apollo-configservice/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
9,True,TP,FN,TP,TP,apollo,management.health.status.order,apollo-adminservice/src/test/resources/application.yml,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",UNKNOWN,spring,management.health.status.order,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",apollo-portal/src/test/resources/application.yml,UNKNOWN,spring,1
10,False,FP,FP,FP,TN,apollo,eureka.instance.health-check-url-path,apollo-adminservice/src/main/resources/application.yml,/health,PATH,spring,eureka.instance.health-check-url-path,/health,apollo-assembly/src/main/resources/application.yml,PATH,spring,3
12,False,FP,TN,FP,FP,apollo,project.build.plugins.plugin_docker-maven-plugin.configuration.resources.resource.directory,apollo-configservice/pom.xml,${project.build.directory},PATH,maven,project.build.plugins.plugin_replacer.configuration.basedir,${project.build.directory},apollo-portal/pom.xml,PATH,maven,3
13,True,FN,TP,TP,TP,apollo,project.artifactId,apollo-audit/apollo-audit-impl/pom.xml,apollo-audit-impl,NAME,maven,project.modules.module,apollo-audit-impl,apollo-audit/pom.xml,NAME,maven,1
16,True,TP,TP,FN,TP,apollo,project.parent_apollo-audit.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.parent_apollo.version,version:${revision},apollo-configservice/pom.xml,VERSION_NUMBER,maven,1
17,False,FP,TN,FP,TN,apollo,project.build.resources.resource.excludes.exclude_**/*.properties,pom.xml,**/*.properties,PATH,maven,project.build.resources.resource.includes.include_**/*.properties,**/*.properties,pom.xml,PATH,maven,2
19,True,TP,FN,TP,FN,apollo,project.dependencies.dependency_jaxb-runtime.groupId,apollo-adminservice/pom.xml,org.glassfish.jaxb,NAME,maven,project.dependencies.dependency_jaxb-runtime.groupId,org.glassfish.jaxb,apollo-portal/pom.xml,NAME,maven,2
20,False,TN,TN,FP,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-annotation/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencies.dependency_apollo-audit-api.groupId,com.ctrip.framework.apollo,apollo-audit/apollo-audit-impl/pom.xml,NAME,maven,2
25,True,TP,TP,TP,FN,apollo,project.parent_apollo.relativePath,apollo-adminservice/pom.xml,../pom.xml,PATH,maven,project.parent_apollo.relativePath,../pom.xml,apollo-common/pom.xml,PATH,maven,1
28,False,FP,TN,FP,TN,apollo,eureka.instance.preferIpAddress,apollo-adminservice/src/main/resources/application.yml,TRUE,BOOLEAN,spring,eureka.instance.preferIpAddress,TRUE,apollo-adminservice/src/test/resources/application.yml,BOOLEAN,spring,2
30,False,TN,TN,FP,TN,apollo,project.dependencies.dependency_apollo-configservice.groupId,apollo-assembly/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.parent_apollo-audit.groupId,com.ctrip.framework.apollo,apollo-audit/apollo-audit-annotation/pom.xml,NAME,maven,1
31,False,FP,TN,FP,FP,apollo,project.dependencies.dependency_spring-cloud-starter-netflix-eureka-client.groupId,apollo-biz/pom.xml,org.springframework.cloud,NAME,maven,project.dependencies.dependency_spring-cloud-starter-zookeeper-discovery.groupId,org.springframework.cloud,apollo-biz/pom.xml,NAME,maven,3
