index,rating,gpt-3.5-turbo-0125,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,FP_FN_count
4,False,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-api/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.parent_apollo.groupId,com.ctrip.framework.apollo,apollo-configservice/pom.xml,NAME,maven,4
5,False,FP,apollo,project.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.version,version:${revision},apollo-audit/apollo-audit-spring-boot-starter/pom.xml,VERSION_NUMBER,maven,4
7,True,FN,apollo,project.parent_apollo.groupId,apollo-configservice/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
10,False,FP,apollo,eureka.instance.health-check-url-path,apollo-adminservice/src/main/resources/application.yml,/health,PATH,spring,eureka.instance.health-check-url-path,/health,apollo-assembly/src/main/resources/application.yml,PATH,spring,3
12,False,FP,apollo,project.build.plugins.plugin_docker-maven-plugin.configuration.resources.resource.directory,apollo-configservice/pom.xml,${project.build.directory},PATH,maven,project.build.plugins.plugin_replacer.configuration.basedir,${project.build.directory},apollo-portal/pom.xml,PATH,maven,3
13,True,FN,apollo,project.artifactId,apollo-audit/apollo-audit-impl/pom.xml,apollo-audit-impl,NAME,maven,project.modules.module,apollo-audit-impl,apollo-audit/pom.xml,NAME,maven,1
17,False,FP,apollo,project.build.resources.resource.excludes.exclude_**/*.properties,pom.xml,**/*.properties,PATH,maven,project.build.resources.resource.includes.include_**/*.properties,**/*.properties,pom.xml,PATH,maven,2
28,False,FP,apollo,eureka.instance.preferIpAddress,apollo-adminservice/src/main/resources/application.yml,TRUE,BOOLEAN,spring,eureka.instance.preferIpAddress,TRUE,apollo-adminservice/src/test/resources/application.yml,BOOLEAN,spring,2
31,False,FP,apollo,project.dependencies.dependency_spring-cloud-starter-netflix-eureka-client.groupId,apollo-biz/pom.xml,org.springframework.cloud,NAME,maven,project.dependencies.dependency_spring-cloud-starter-zookeeper-discovery.groupId,org.springframework.cloud,apollo-biz/pom.xml,NAME,maven,3
39,True,FN,apollo,project.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.parent_apollo-audit.version,version:${revision},apollo-audit/apollo-audit-spring-boot-starter/pom.xml,VERSION_NUMBER,maven,1
46,False,FP,apollo,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,apollo-assembly/pom.xml,org.springframework.boot,NAME,maven,project.dependencies.dependency_spring-boot-starter-actuator.groupId,org.springframework.boot,apollo-common/pom.xml,NAME,maven,2
48,False,FP,apollo,project.dependencies.dependency_apollo-audit-spring-boot-starter.groupId,apollo-biz/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-adminservice.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
55,True,FN,jetlinks-community,project.modelVersion,jetlinks-manager/authentication-manager/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-manager/pom.xml,VERSION_NUMBER,maven,2
57,True,FN,jetlinks-community,project.artifactId,jetlinks-components/pom.xml,jetlinks-components,NAME,maven,project.parent_jetlinks-components.artifactId,jetlinks-components,jetlinks-components/relation-component/pom.xml,NAME,maven,3
58,True,FN,jetlinks-community,services.elasticsearch.ports.in,docker/dev-env/docker-compose.yml,9300,PORT,docker-compose,services.elasticsearch.ports.out,9300,docker/dev-env/docker-compose.yml,PORT,docker-compose,3
