index,rating,gpt-4o-2024-05-13,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,FP_FN_count
0,True,FN,apollo,project.modelVersion,apollo-audit/apollo-audit-api/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,apollo-biz/pom.xml,VERSION_NUMBER,maven,2
4,False,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-api/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.parent_apollo.groupId,com.ctrip.framework.apollo,apollo-configservice/pom.xml,NAME,maven,4
5,False,FP,apollo,project.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.version,version:${revision},apollo-audit/apollo-audit-spring-boot-starter/pom.xml,VERSION_NUMBER,maven,4
9,True,FN,apollo,management.health.status.order,apollo-adminservice/src/test/resources/application.yml,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",UNKNOWN,spring,management.health.status.order,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",apollo-portal/src/test/resources/application.yml,UNKNOWN,spring,1
10,False,FP,apollo,eureka.instance.health-check-url-path,apollo-adminservice/src/main/resources/application.yml,/health,PATH,spring,eureka.instance.health-check-url-path,/health,apollo-assembly/src/main/resources/application.yml,PATH,spring,3
19,True,FN,apollo,project.dependencies.dependency_jaxb-runtime.groupId,apollo-adminservice/pom.xml,org.glassfish.jaxb,NAME,maven,project.dependencies.dependency_jaxb-runtime.groupId,org.glassfish.jaxb,apollo-portal/pom.xml,NAME,maven,2
43,False,FP,apollo,project.parent_apollo.groupId,apollo-audit/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-biz.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
55,True,FN,jetlinks-community,project.modelVersion,jetlinks-manager/authentication-manager/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-manager/pom.xml,VERSION_NUMBER,maven,2
56,False,FP,jetlinks-community,project.parent_notify-component.relativePath,jetlinks-components/notify-component/notify-dingtalk/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/protocol-component/pom.xml,PATH,maven,1
58,True,FN,jetlinks-community,services.elasticsearch.ports.in,docker/dev-env/docker-compose.yml,9300,PORT,docker-compose,services.elasticsearch.ports.out,9300,docker/dev-env/docker-compose.yml,PORT,docker-compose,3
60,True,FN,jetlinks-community,project.dependencies.dependency_logback-classic.groupId,jetlinks-components/logging-component/pom.xml,ch.qos.logback,NAME,maven,project.dependencies.dependency_logback-classic.groupId,ch.qos.logback,pom.xml,NAME,maven,1
65,True,FN,jetlinks-community,project.dependencies.dependency_tcp-component.groupId,jetlinks-manager/network-manager/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_authentication-manager.groupId,${project.groupId},jetlinks-standalone/pom.xml,NAME,maven,1
66,False,FP,jetlinks-community,project.dependencies.dependency_gateway-component.version,jetlinks-components/network-component/mqtt-component/pom.xml,gateway-component:${project.version},VERSION_NUMBER,maven,project.dependencies.dependency_gateway-component.version,gateway-component:${project.version},jetlinks-standalone/pom.xml,VERSION_NUMBER,maven,4
67,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/logging-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/relation-component/pom.xml,VERSION_NUMBER,maven,3
69,False,FP,jetlinks-community,project.dependencies.dependency_timeseries-component.groupId,jetlinks-components/dashboard-component/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_common-component.groupId,${project.groupId},jetlinks-components/rule-engine-component/pom.xml,NAME,maven,3
74,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/configure-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/notify-component/notify-voice/pom.xml,VERSION_NUMBER,maven,1
75,True,FN,jetlinks-community,project.parent_jetlinks-manager.artifactId,jetlinks-manager/authentication-manager/pom.xml,jetlinks-manager,NAME,maven,project.modules.module,jetlinks-manager,pom.xml,NAME,maven,4
76,False,FP,jetlinks-community,project.dependencies.dependency_gateway-component.groupId,jetlinks-components/logging-component/pom.xml,org.jetlinks.community,NAME,maven,project.groupId,org.jetlinks.community,pom.xml,NAME,maven,4
78,False,FP,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/network-component/pom.xml,../pom.xml,PATH,maven,project.parent_network-component.relativePath,../pom.xml,jetlinks-components/network-component/tcp-component/pom.xml,PATH,maven,2
81,True,FN,jetlinks-community,project.dependencies.dependency_notify-core.groupId,jetlinks-components/notify-component/notify-voice/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_rule-engine-component.groupId,${project.groupId},jetlinks-manager/rule-engine-manager/pom.xml,NAME,maven,1
86,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/common-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/network-component/mqtt-component/pom.xml,VERSION_NUMBER,maven,3
89,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/notify-component/notify-sms/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/rule-engine-component/pom.xml,VERSION_NUMBER,maven,3
90,False,FP,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/elasticsearch-component/pom.xml,../pom.xml,PATH,maven,project.parent_network-component.relativePath,../pom.xml,jetlinks-components/network-component/network-core/pom.xml,PATH,maven,1
98,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/logging-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/timeseries-component/pom.xml,VERSION_NUMBER,maven,2
99,True,FN,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/dashboard-component/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/protocol-component/pom.xml,PATH,maven,1
102,True,FN,litemall,project.dependencies.dependency_litemall-admin-api.groupId,litemall-all-war/pom.xml,org.linlinjava,NAME,maven,project.groupId,org.linlinjava,pom.xml,NAME,maven,2
106,True,FN,litemall,project.dependencies.dependency_weixin-java-miniapp.artifactId,litemall-core/pom.xml,weixin-java-miniapp,NAME,maven,project.dependencies.dependency_weixin-java-miniapp.artifactId,weixin-java-miniapp,litemall-wx-api/pom.xml,NAME,maven,2
112,True,FN,litemall,project.dependencies.dependency_weixin-java-pay.artifactId,litemall-core/pom.xml,weixin-java-pay,NAME,maven,project.dependencyManagement.dependencies.dependency_weixin-java-pay.artifactId,weixin-java-pay,pom.xml,NAME,maven,2
114,True,FN,litemall,spring.messages.encoding,litemall-admin-api/src/main/resources/application.yml,UTF-8,UNKNOWN,spring,spring.messages.encoding,UTF-8,litemall-core/src/main/resources/application.yml,UNKNOWN,spring,1
115,True,FN,litemall,services.mysql57.ports.in,docker/docker-compose.yml,3306,PORT,docker-compose,services.mysql57.ports.out,3306,docker/docker-compose.yml,PORT,docker-compose,3
123,True,FN,litemall,dependencies.js-cookie,litemall-admin/package.json,js-cookie:2.2.0,VERSION_NUMBER,nodejs,dependencies.js-cookie,js-cookie:2.2.0,litemall-vue/package.json,VERSION_NUMBER,nodejs,2
125,True,FN,litemall,project.dependencies.dependency_litemall-db.groupId,litemall-admin-api/pom.xml,org.linlinjava,NAME,maven,project.dependencies.dependency_litemall-wx-api.groupId,org.linlinjava,litemall-all-war/pom.xml,NAME,maven,1
137,True,FN,litemall,project.dependencies.dependency_litemall-admin-api.groupId,litemall-all-war/pom.xml,org.linlinjava,NAME,maven,project.dependencies.dependency_litemall-db.groupId,org.linlinjava,litemall-all-war/pom.xml,NAME,maven,1
141,True,FN,litemall,services.litemall.ports.in,docker/docker-compose.yml,8080,PORT,docker-compose,services.litemall.ports.out,8080,docker/docker-compose.yml,PORT,docker-compose,1
142,True,FN,litemall,project.modelVersion,litemall-all-war/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,litemall-wx-api/pom.xml,VERSION_NUMBER,maven,1
144,True,FN,litemall,project.artifactId,litemall-all/pom.xml,litemall-all,NAME,maven,project.modules.module,litemall-all,pom.xml,NAME,maven,2
151,True,FN,mall-swarm,project.modelVersion,mall-common/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-portal/pom.xml,VERSION_NUMBER,maven,2
152,True,FN,mall-swarm,project.parent_mall-swarm.groupId,mall-demo/pom.xml,com.macro.mall,NAME,maven,project.dependencyManagement.dependencies.dependency_mall-mbg.groupId,com.macro.mall,pom.xml,NAME,maven,3
157,True,FN,mall-swarm,project.dependencies.dependency_mall-common.groupId,mall-gateway/pom.xml,com.macro.mall,NAME,maven,project.groupId,com.macro.mall,mall-search/pom.xml,NAME,maven,1
165,True,FN,mall-swarm,project.groupId,mall-admin/pom.xml,com.macro.mall,NAME,maven,project.parent_mall-swarm.groupId,com.macro.mall,mall-search/pom.xml,NAME,maven,3
166,False,FP,mall-swarm,spring.mvc.pathmatch.matching-strategy,mall-admin/src/main/resources/application.yml,ant_path_matcher,PATH,spring,spring.mvc.pathmatch.matching-strategy,ant_path_matcher,mall-portal/src/main/resources/application.yml,PATH,spring,2
170,True,FN,mall-swarm,project.build.plugins.plugin_docker-maven-plugin.groupId,mall-monitor/pom.xml,io.fabric8,NAME,maven,project.build.plugins.plugin_docker-maven-plugin.groupId,io.fabric8,mall-search/pom.xml,NAME,maven,2
171,True,FN,mall-swarm,project.modelVersion,mall-gateway/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-monitor/pom.xml,VERSION_NUMBER,maven,3
172,False,FP,mall-swarm,project.version,mall-search/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,pom.xml,VERSION_NUMBER,maven,4
176,True,FN,mall-swarm,project.modelVersion,mall-auth/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-gateway/pom.xml,VERSION_NUMBER,maven,3
180,True,FN,mall-swarm,project.parent_mall-swarm.groupId,mall-gateway/pom.xml,com.macro.mall,NAME,maven,project.groupId,com.macro.mall,mall-monitor/pom.xml,NAME,maven,1
182,True,FN,mall-swarm,project.dependencies.dependency_mall-mbg.groupId,mall-portal/pom.xml,com.macro.mall,NAME,maven,project.groupId,com.macro.mall,mall-search/pom.xml,NAME,maven,1
184,True,FN,mall-swarm,project.dependencyManagement.dependencies.dependency_mall-mbg.artifactId,pom.xml,mall-mbg,NAME,maven,project.modules.module,mall-mbg,pom.xml,NAME,maven,3
185,True,FN,mall-swarm,project.build.plugins.plugin_docker-maven-plugin.groupId,mall-admin/pom.xml,io.fabric8,NAME,maven,project.build.plugins.plugin_docker-maven-plugin.groupId,io.fabric8,mall-auth/pom.xml,NAME,maven,3
189,False,FP,mall-swarm,project.version,mall-demo/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,mall-monitor/pom.xml,VERSION_NUMBER,maven,3
194,True,FN,mall-swarm,services.redis.ports.in,document/docker/docker-compose-env.yml,6379,PORT,docker-compose,services.redis.ports.out,6379,document/docker/docker-compose-env.yml,PORT,docker-compose,1
196,True,FN,mall-swarm,project.groupId,mall-auth/pom.xml,com.macro.mall,NAME,maven,project.dependencies.dependency_mall-common.groupId,com.macro.mall,mall-gateway/pom.xml,NAME,maven,3
199,True,FN,mall-swarm,project.dependencies.dependency_feign-okhttp.artifactId,mall-admin/pom.xml,feign-okhttp,NAME,maven,project.dependencies.dependency_feign-okhttp.artifactId,feign-okhttp,mall-auth/pom.xml,NAME,maven,2
204,False,FP,mall,project.parent_mall.groupId,mall-portal/pom.xml,com.macro.mall,NAME,maven,project.groupId,com.macro.mall,mall-security/pom.xml,NAME,maven,3
216,True,FN,mall,project.modelVersion,mall-portal/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,pom.xml,VERSION_NUMBER,maven,1
226,False,FP,mall,project.parent_mall.version,mall-demo/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,pom.xml,VERSION_NUMBER,maven,4
240,True,FN,mall,project.parent_mall.groupId,mall-common/pom.xml,com.macro.mall,NAME,maven,project.dependencyManagement.dependencies.dependency_mall-mbg.groupId,com.macro.mall,pom.xml,NAME,maven,2
244,True,FN,mall,project.modelVersion,mall-admin/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-mbg/pom.xml,VERSION_NUMBER,maven,2
317,True,FN,piggymetrics,services.rabbitmq.ports.in,docker-compose.dev.yml,5672,PORT,docker-compose,services.rabbitmq.ports.out,5672,docker-compose.dev.yml,PORT,docker-compose,3
334,False,FP,piggymetrics,project.version,gateway/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_piggymetrics.version,version:1.0-SNAPSHOT,monitoring/pom.xml,VERSION_NUMBER,maven,3
336,False,FP,piggymetrics,project.modules.module,pom.xml,turbine-stream-service,NAME,maven,project.name,turbine-stream-service,turbine-stream-service/pom.xml,NAME,maven,3
341,True,FN,piggymetrics,project.modelVersion,monitoring/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,turbine-stream-service/pom.xml,VERSION_NUMBER,maven,2
356,True,FN,pig,project.parent_pig.groupId,pig-upms/pom.xml,com.pig4cloud,NAME,maven,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,pig-visual/pig-codegen/pom.xml,NAME,maven,3
367,True,FN,pig,project.dependencies.dependency_pig-common-core.groupId,pig-common/pig-common-swagger/pom.xml,com.pig4cloud,NAME,maven,project.groupId,com.pig4cloud,pom.xml,NAME,maven,1
375,True,FN,pig,project.dependencies.dependency_caffeine.artifactId,pig-common/pig-common-feign/pom.xml,caffeine,NAME,maven,project.dependencies.dependency_caffeine.artifactId,caffeine,pig-gateway/pom.xml,NAME,maven,2
378,True,FN,pig,project.properties.maven.compiler.source,pom.xml,17,VERSION_NUMBER,maven,project.properties.maven.compiler.target,17,pom.xml,VERSION_NUMBER,maven,2
397,False,FP,pig,project.parent_pig-common.groupId,pig-common/pig-common-xss/pom.xml,com.pig4cloud,NAME,maven,project.groupId,com.pig4cloud,pom.xml,NAME,maven,3
