index,rating,llama3:8b,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,FP_FN_count
4,False,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-api/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.parent_apollo.groupId,com.ctrip.framework.apollo,apollo-configservice/pom.xml,NAME,maven,4
5,False,FP,apollo,project.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.version,version:${revision},apollo-audit/apollo-audit-spring-boot-starter/pom.xml,VERSION_NUMBER,maven,4
10,False,FP,apollo,eureka.instance.health-check-url-path,apollo-adminservice/src/main/resources/application.yml,/health,PATH,spring,eureka.instance.health-check-url-path,/health,apollo-assembly/src/main/resources/application.yml,PATH,spring,3
12,False,FP,apollo,project.build.plugins.plugin_docker-maven-plugin.configuration.resources.resource.directory,apollo-configservice/pom.xml,${project.build.directory},PATH,maven,project.build.plugins.plugin_replacer.configuration.basedir,${project.build.directory},apollo-portal/pom.xml,PATH,maven,3
16,True,FN,apollo,project.parent_apollo-audit.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.parent_apollo.version,version:${revision},apollo-configservice/pom.xml,VERSION_NUMBER,maven,1
17,False,FP,apollo,project.build.resources.resource.excludes.exclude_**/*.properties,pom.xml,**/*.properties,PATH,maven,project.build.resources.resource.includes.include_**/*.properties,**/*.properties,pom.xml,PATH,maven,2
20,False,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-annotation/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencies.dependency_apollo-audit-api.groupId,com.ctrip.framework.apollo,apollo-audit/apollo-audit-impl/pom.xml,NAME,maven,2
28,False,FP,apollo,eureka.instance.preferIpAddress,apollo-adminservice/src/main/resources/application.yml,TRUE,BOOLEAN,spring,eureka.instance.preferIpAddress,TRUE,apollo-adminservice/src/test/resources/application.yml,BOOLEAN,spring,2
30,False,FP,apollo,project.dependencies.dependency_apollo-configservice.groupId,apollo-assembly/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.parent_apollo-audit.groupId,com.ctrip.framework.apollo,apollo-audit/apollo-audit-annotation/pom.xml,NAME,maven,1
31,False,FP,apollo,project.dependencies.dependency_spring-cloud-starter-netflix-eureka-client.groupId,apollo-biz/pom.xml,org.springframework.cloud,NAME,maven,project.dependencies.dependency_spring-cloud-starter-zookeeper-discovery.groupId,org.springframework.cloud,apollo-biz/pom.xml,NAME,maven,3
33,False,FP,apollo,project.parent_apollo.groupId,apollo-buildtools/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-common.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
35,False,FP,apollo,project.build.pluginManagement.plugins.plugin_findbugs-maven-plugin.groupId,pom.xml,org.codehaus.mojo,NAME,maven,project.build.plugins.plugin_flatten-maven-plugin.groupId,org.codehaus.mojo,pom.xml,NAME,maven,1
38,False,FP,apollo,project.profiles.profile_sql-converter.build.plugins.plugin_exec-maven-plugin.groupId,apollo-build-sql-converter/pom.xml,org.codehaus.mojo,NAME,maven,project.build.pluginManagement.plugins.plugin_cobertura-maven-plugin.groupId,org.codehaus.mojo,pom.xml,NAME,maven,1
43,False,FP,apollo,project.parent_apollo.groupId,apollo-audit/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-biz.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
