index,rating,gpt-4o-2024-05-13,gpt-3.5-turbo-0125,llama3:70b,llama3:8b,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,TP_TN_count
0,True,FN,TP,FN,TP,apollo,project.modelVersion,apollo-audit/apollo-audit-api/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,apollo-biz/pom.xml,VERSION_NUMBER,maven,2
1,False,TN,TN,TN,TN,apollo,spring.cloud.zookeeper.enabled,apollo-adminservice/src/test/resources/application.properties,FALSE,BOOLEAN,spring,project.build.pluginManagement.plugins.plugin_findbugs-maven-plugin.configuration.failOnError,FALSE,pom.xml,BOOLEAN,maven,4
2,False,TN,TN,TN,TN,apollo,project.build.pluginManagement.plugins.plugin_spring-boot-maven-plugin.configuration.attach,pom.xml,FALSE,BOOLEAN,maven,project.repositories.repository_sonatype-nexus-snapshots.releases.enabled,FALSE,pom.xml,BOOLEAN,maven,4
3,False,TN,TN,TN,TN,apollo,spring.cloud.zookeeper.enabled,apollo-assembly/src/main/resources/application.yml,FALSE,BOOLEAN,spring,eureka.client.fetch-registry,FALSE,apollo-configservice/src/main/resources/application.yml,BOOLEAN,spring,4
6,False,TN,TN,TN,TN,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-impl/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencies.dependency_apollo-common.groupId,com.ctrip.framework.apollo,apollo-biz/pom.xml,NAME,maven,4
7,True,TP,FN,FN,TP,apollo,project.parent_apollo.groupId,apollo-configservice/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
8,False,TN,TN,TN,TN,apollo,spring.jpa.properties.hibernate.show_sql,apollo-adminservice/src/test/resources/application.properties,FALSE,BOOLEAN,spring,spring.cloud.zookeeper.enabled,FALSE,apollo-configservice/src/test/resources/application.properties,BOOLEAN,spring,4
9,True,FN,TP,TP,TP,apollo,management.health.status.order,apollo-adminservice/src/test/resources/application.yml,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",UNKNOWN,spring,management.health.status.order,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",apollo-portal/src/test/resources/application.yml,UNKNOWN,spring,3
10,False,FP,FP,TN,FP,apollo,eureka.instance.health-check-url-path,apollo-adminservice/src/main/resources/application.yml,/health,PATH,spring,eureka.instance.health-check-url-path,/health,apollo-assembly/src/main/resources/application.yml,PATH,spring,1
11,False,TN,TN,TN,TN,apollo,spring.jpa.defer-datasource-initialization,apollo-configservice/src/test/resources/application.properties,TRUE,VERSION_NUMBER,spring,apollo.audit.log.enabled,TRUE,apollo-portal/src/main/resources/application.properties,BOOLEAN,spring,4
12,False,TN,FP,FP,FP,apollo,project.build.plugins.plugin_docker-maven-plugin.configuration.resources.resource.directory,apollo-configservice/pom.xml,${project.build.directory},PATH,maven,project.build.plugins.plugin_replacer.configuration.basedir,${project.build.directory},apollo-portal/pom.xml,PATH,maven,1
13,True,TP,FN,TP,TP,apollo,project.artifactId,apollo-audit/apollo-audit-impl/pom.xml,apollo-audit-impl,NAME,maven,project.modules.module,apollo-audit-impl,apollo-audit/pom.xml,NAME,maven,3
14,True,TP,TP,TP,TP,apollo,project.build.plugins.plugin_docker-maven-plugin.configuration.imageTags.imageTag,apollo-adminservice/pom.xml,${project.version},IMAGE,maven,project.build.plugins.plugin_docker-maven-plugin.configuration.buildArgs.VERSION,${project.version},apollo-configservice/pom.xml,UNKNOWN,maven,4
15,False,TN,TN,TN,TN,apollo,project.dependencies.dependency_spring-cloud-starter-netflix-eureka-server.scope,apollo-adminservice/pom.xml,test,UNKNOWN,maven,project.dependencyManagement.dependencies.dependency_awaitility.scope,test,pom.xml,UNKNOWN,maven,4
16,True,TP,TP,TP,FN,apollo,project.parent_apollo-audit.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.parent_apollo.version,version:${revision},apollo-configservice/pom.xml,VERSION_NUMBER,maven,3
17,False,TN,FP,TN,FP,apollo,project.build.resources.resource.excludes.exclude_**/*.properties,pom.xml,**/*.properties,PATH,maven,project.build.resources.resource.includes.include_**/*.properties,**/*.properties,pom.xml,PATH,maven,2
18,False,TN,TN,TN,TN,apollo,eureka.client.fetch-registry,apollo-assembly/src/main/resources/application.yml,FALSE,BOOLEAN,spring,eureka.server.enableSelfPreservation,FALSE,apollo-configservice/src/main/resources/application.yml,BOOLEAN,spring,4
19,True,FN,TP,FN,TP,apollo,project.dependencies.dependency_jaxb-runtime.groupId,apollo-adminservice/pom.xml,org.glassfish.jaxb,NAME,maven,project.dependencies.dependency_jaxb-runtime.groupId,org.glassfish.jaxb,apollo-portal/pom.xml,NAME,maven,2
20,False,TN,TN,FP,FP,apollo,project.parent_apollo-audit.groupId,apollo-audit/apollo-audit-annotation/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencies.dependency_apollo-audit-api.groupId,com.ctrip.framework.apollo,apollo-audit/apollo-audit-impl/pom.xml,NAME,maven,2
21,True,TP,TP,TP,TP,apollo,project.parent_apollo-audit.version,apollo-audit/apollo-audit-api/pom.xml,version:${revision},VERSION_NUMBER,maven,project.parent_apollo.version,version:${revision},apollo-portal/pom.xml,VERSION_NUMBER,maven,4
22,False,TN,TN,TN,TN,apollo,server.compression.enabled,apollo-assembly/src/main/resources/application.yml,TRUE,BOOLEAN,spring,eureka.instance.preferIpAddress,TRUE,apollo-configservice/src/main/resources/application.yml,BOOLEAN,spring,4
23,False,TN,TN,TN,TN,apollo,spring.cloud.discovery.enabled,apollo-adminservice/src/test/resources/application.properties,FALSE,BOOLEAN,spring,project.build.plugins.plugin_maven-assembly-plugin.executions.execution.configuration.appendAssemblyId,FALSE,apollo-portal/pom.xml,BOOLEAN,maven,4
24,True,TP,TP,TP,TP,apollo,project.dependencies.dependency_javax.mail.artifactId,apollo-portal/pom.xml,javax.mail,NAME,maven,project.dependencyManagement.dependencies.dependency_javax.mail.artifactId,javax.mail,pom.xml,NAME,maven,4
25,True,TP,TP,FN,TP,apollo,project.parent_apollo.relativePath,apollo-adminservice/pom.xml,../pom.xml,PATH,maven,project.parent_apollo.relativePath,../pom.xml,apollo-common/pom.xml,PATH,maven,3
26,True,TP,TP,TP,TP,apollo,project.parent_apollo-audit.version,apollo-audit/apollo-audit-annotation/pom.xml,version:${revision},VERSION_NUMBER,maven,project.version,version:${revision},apollo-audit/apollo-audit-annotation/pom.xml,VERSION_NUMBER,maven,4
27,False,TN,TN,TN,TN,apollo,spring.h2.console.enabled,apollo-adminservice/src/test/resources/application.properties,TRUE,BOOLEAN,spring,spring.jpa.defer-datasource-initialization,TRUE,apollo-adminservice/src/test/resources/application.properties,VERSION_NUMBER,spring,4
28,False,TN,FP,TN,FP,apollo,eureka.instance.preferIpAddress,apollo-adminservice/src/main/resources/application.yml,TRUE,BOOLEAN,spring,eureka.instance.preferIpAddress,TRUE,apollo-adminservice/src/test/resources/application.yml,BOOLEAN,spring,2
29,False,TN,TN,TN,TN,apollo,spring.jpa.properties.hibernate.globally_quoted_identifiers,apollo-adminservice/src/test/resources/application.properties,FALSE,ID,spring,spring.cloud.zookeeper.enabled,FALSE,apollo-portal/src/test/resources/application.properties,BOOLEAN,spring,4
30,False,TN,TN,TN,FP,apollo,project.dependencies.dependency_apollo-configservice.groupId,apollo-assembly/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.parent_apollo-audit.groupId,com.ctrip.framework.apollo,apollo-audit/apollo-audit-annotation/pom.xml,NAME,maven,3
31,False,TN,FP,FP,FP,apollo,project.dependencies.dependency_spring-cloud-starter-netflix-eureka-client.groupId,apollo-biz/pom.xml,org.springframework.cloud,NAME,maven,project.dependencies.dependency_spring-cloud-starter-zookeeper-discovery.groupId,org.springframework.cloud,apollo-biz/pom.xml,NAME,maven,1
32,False,TN,TN,TN,TN,apollo,spring.jmx.unique-names,apollo-assembly/src/test/resources/application.properties,TRUE,BOOLEAN,spring,spring.h2.console.enabled,TRUE,apollo-biz/src/test/resources/application.properties,BOOLEAN,spring,4
33,False,TN,TN,FP,FP,apollo,project.parent_apollo.groupId,apollo-buildtools/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-common.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
34,False,TN,TN,TN,TN,apollo,spring.jmx.unique-names,apollo-assembly/src/test/resources/application.properties,TRUE,BOOLEAN,spring,spring.h2.console.enabled,TRUE,apollo-portal/src/test/resources/application.properties,BOOLEAN,spring,4
35,False,TN,TN,TN,FP,apollo,project.build.pluginManagement.plugins.plugin_findbugs-maven-plugin.groupId,pom.xml,org.codehaus.mojo,NAME,maven,project.build.plugins.plugin_flatten-maven-plugin.groupId,org.codehaus.mojo,pom.xml,NAME,maven,3
36,False,TN,TN,TN,TN,apollo,apollo.audit.log.enabled,apollo-adminservice/src/main/resources/application.properties,TRUE,BOOLEAN,spring,project.repositories.repository_sonatype-nexus-snapshots.snapshots.enabled,TRUE,pom.xml,BOOLEAN,maven,4
37,False,TN,TN,TN,TN,apollo,spring.jpa.defer-datasource-initialization,apollo-configservice/src/test/resources/application.properties,TRUE,VERSION_NUMBER,spring,project.dependencies.dependency_spring-boot-configuration-processor.optional,TRUE,apollo-portal/pom.xml,BOOLEAN,maven,4
38,False,TN,TN,TN,FP,apollo,project.profiles.profile_sql-converter.build.plugins.plugin_exec-maven-plugin.groupId,apollo-build-sql-converter/pom.xml,org.codehaus.mojo,NAME,maven,project.build.pluginManagement.plugins.plugin_cobertura-maven-plugin.groupId,org.codehaus.mojo,pom.xml,NAME,maven,3
39,True,TP,FN,TP,TP,apollo,project.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.parent_apollo-audit.version,version:${revision},apollo-audit/apollo-audit-spring-boot-starter/pom.xml,VERSION_NUMBER,maven,3
40,False,TN,TN,TN,TN,apollo,spring.cloud.discovery.enabled,apollo-biz/src/test/resources/application.properties,FALSE,BOOLEAN,spring,spring.jpa.hibernate.globally_quoted_identifiers,FALSE,apollo-biz/src/test/resources/application.properties,ID,spring,4
