dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,rating,final_rating,explanation,gpt-3.5-turbo_all,gpt-3.5-turbo_without,llama3:8b_all,gpt-4o_all,gpt-4o_without,llama3:70b_all,llama3:8b_without,llama3:70b_without
value-equality,Spring-Cloud-Platform::::ace-gate/pom.xml::::project::::parent_ace-security::::version::::version:2.0-SNAPSHOT <-> Spring-Cloud-Platform::::ace-modules/ace-tool/pom.xml::::project::::parent_ace-modules::::version::::version:2.0-SNAPSHOT,Spring-Cloud-Platform,project.parent_ace-security.version,version:2.0-SNAPSHOT,ConfigType.VERSION_NUMBER,ace-gate/pom.xml,maven,project.parent_ace-modules.version,version:2.0-SNAPSHOT,ConfigType.VERSION_NUMBER,ace-modules/ace-tool/pom.xml,maven,FALSE,FALSE,,False,True,,False,True,True,True,True
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_fastjson::::groupId::::com.alibaba <-> Spring-Cloud-Platform::::ace-modules/ace-sample/pom.xml::::project::::dependencies::::dependency_fastjson::::groupId::::com.alibaba,Spring-Cloud-Platform,project.dependencies.dependency_fastjson.groupId,com.alibaba,ConfigType.NAME,ace-modules/ace-admin/pom.xml,maven,project.dependencies.dependency_fastjson.groupId,com.alibaba,ConfigType.NAME,ace-modules/ace-sample/pom.xml,maven,Borderline,TRUE,same dependency in different modules lives under same groupID,True,True,,True,False,False,True,False
value-equality,Spring-Cloud-Platform::::ace-infrastructure/ace-monitor/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-loadbalancer::::groupId::::org.springframework.cloud <-> Spring-Cloud-Platform::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_spring-cloud-dependencies::::groupId::::org.springframework.cloud,Spring-Cloud-Platform,project.dependencies.dependency_spring-cloud-starter-loadbalancer.groupId,org.springframework.cloud,ConfigType.NAME,ace-infrastructure/ace-monitor/pom.xml,maven,project.dependencyManagement.dependencies.dependency_spring-cloud-dependencies.groupId,org.springframework.cloud,ConfigType.NAME,pom.xml,maven,FALSE,FALSE,,False,True,True,True,False,True,,True
value-equality,Spring-Cloud-Platform::::docker-compose.yml::::services::::ace-auth::::environment::::REDIS_PORT::::6379 <-> Spring-Cloud-Platform::::docker-compose.yml::::services::::redis::::ports::::in::::6379,Spring-Cloud-Platform,services.ace-auth.environment.REDIS_PORT,6379,ConfigType.PORT,docker-compose.yml,docker-compose,services.redis.ports.in,6379,ConfigType.PORT,docker-compose.yml,docker-compose,TRUE,TRUE,,True,True,True,True,True,True,True,True
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::build::::plugins::::plugin_mybatis-generator-maven-plugin::::dependencies::::dependency_mapper::::groupId::::tk.mybatis <-> Spring-Cloud-Platform::::ace-modules/ace-generator/pom.xml::::project::::dependencies::::dependency_mapper-spring-boot-starter::::groupId::::tk.mybatis,Spring-Cloud-Platform,project.build.plugins.plugin_mybatis-generator-maven-plugin.dependencies.dependency_mapper.groupId,tk.mybatis,ConfigType.NAME,ace-modules/ace-admin/pom.xml,maven,project.dependencies.dependency_mapper-spring-boot-starter.groupId,tk.mybatis,ConfigType.NAME,ace-modules/ace-generator/pom.xml,maven,FALSE,FALSE,,True,False,,False,False,True,True,True
value-equality,Spring-Cloud-Platform::::ace-infrastructure/ace-monitor/pom.xml::::project::::parent_ace-infrastructure::::artifactId::::ace-infrastructure <-> Spring-Cloud-Platform::::ace-infrastructure/pom.xml::::project::::artifactId::::ace-infrastructure,Spring-Cloud-Platform,project.parent_ace-infrastructure.artifactId,ace-infrastructure,ConfigType.NAME,ace-infrastructure/ace-monitor/pom.xml,maven,project.artifactId,ace-infrastructure,ConfigType.NAME,ace-infrastructure/pom.xml,maven,Borderline,TRUE,parent and child artifact as to be the same,False,False,False,True,True,True,True,True
value-equality,Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::logging.level.com.github.wxiaoqi.cloud.gate.v2::::info <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::logging.level.org.springframework::::info,Spring-Cloud-Platform,logging.level.com.github.wxiaoqi.cloud.gate.v2,info,ConfigType.UNKNOWN,ace-modules/ace-generator/src/main/resources/application.yml,spring,logging.level.org.springframework,info,ConfigType.UNKNOWN,ace-modules/ace-sample/src/main/resources/application.yml,spring,FALSE,FALSE,,True,False,,False,False,,False,
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_spring-webmvc::::artifactId::::spring-webmvc <-> Spring-Cloud-Platform::::ace-modules/ace-sample/pom.xml::::project::::dependencies::::dependency_spring-webmvc::::artifactId::::spring-webmvc,Spring-Cloud-Platform,project.dependencies.dependency_spring-webmvc.artifactId,spring-webmvc,ConfigType.NAME,ace-modules/ace-admin/pom.xml,maven,project.dependencies.dependency_spring-webmvc.artifactId,spring-webmvc,ConfigType.NAME,ace-modules/ace-sample/pom.xml,maven,Borderline,TRUE,same dependency in different modules lives under same groupID,True,True,,True,False,False,,False
value-equality,Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::feign.compression.response.enabled::::True <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::feign.compression.request.enabled::::True,Spring-Cloud-Platform,feign.compression.response.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-generator/src/main/resources/application.yml,spring,feign.compression.request.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-sample/src/main/resources/application.yml,spring,FALSE,FALSE,,True,True,True,False,False,False,False,False
value-equality,Spring-Cloud-Platform::::ace-gate/src/main/docker/Dockerfile::::FROM::::livingobjects/jre8 <-> Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/docker/Dockerfile::::FROM::::livingobjects/jre8,Spring-Cloud-Platform,FROM,livingobjects/jre8,ConfigType.PATH,ace-gate/src/main/docker/Dockerfile,docker,FROM,livingobjects/jre8,ConfigType.PATH,ace-modules/ace-admin/src/main/docker/Dockerfile,docker,FALSE,FALSE,,True,True,True,False,False,True,True,True
value-equality,Spring-Cloud-Platform::::ace-dev-base/ace-common/pom.xml::::project::::dependencies::::dependency_fastjson::::artifactId::::fastjson <-> Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_fastjson::::artifactId::::fastjson,Spring-Cloud-Platform,project.dependencies.dependency_fastjson.artifactId,fastjson,ConfigType.NAME,ace-dev-base/ace-common/pom.xml,maven,project.dependencies.dependency_fastjson.artifactId,fastjson,ConfigType.NAME,ace-modules/ace-admin/pom.xml,maven,Borderline,TRUE,same dependency in different modules lives under same groupID,True,True,True,False,False,False,True,False
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::management.security.enabled::::True <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::feign.compression.response.enabled::::True,Spring-Cloud-Platform,management.security.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-admin/src/main/resources/application.yml,spring,feign.compression.response.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-sample/src/main/resources/application.yml,spring,FALSE,FALSE,,False,False,,False,False,False,False,False
value-equality,Spring-Cloud-Platform::::ace-gate/pom.xml::::project::::artifactId::::ace-gate <-> Spring-Cloud-Platform::::pom.xml::::project::::modules::::module::::ace-gate,Spring-Cloud-Platform,project.artifactId,ace-gate,ConfigType.NAME,ace-gate/pom.xml,maven,project.modules.module,ace-gate,ConfigType.NAME,pom.xml,maven,TRUE,TRUE,,False,False,False,True,True,False,True,False
