 ,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,rating,final_rating,explanation,gpt-3.5-turbo_all,gpt-3.5-turbo_without,gpt-4o_all,gpt-4o_without
value-equality,litemall::::litemall-admin-api/src/main/resources/application.yml::::logging.level.org.linlinjava.litemall::::ERROR <-> litemall::::litemall-wx-api/src/main/resources/application.yml::::logging.level.org.linlinjava.litemall::::ERROR,litemall,logging.level.org.linlinjava.litemall,ERROR,ConfigType.UNKNOWN,litemall-admin-api/src/main/resources/application.yml,spring,logging.level.org.linlinjava.litemall,ERROR,ConfigType.UNKNOWN,litemall-wx-api/src/main/resources/application.yml,spring,FALSE,False,,False,True,False,False
value-equality,litemall::::docker/litemall/Dockerfile::::COPY::::src::::litemall.jar <-> litemall::::docker/litemall/Dockerfile::::ENTRYPOINT::::param3::::litemall.jar,litemall,COPY.src,litemall.jar,ConfigType.PATH,docker/litemall/Dockerfile,docker,ENTRYPOINT.param3,litemall.jar,ConfigType.PATH,docker/litemall/Dockerfile,docker,TRUE,True,,True,False,True,True
value-equality,litemall::::litemall-all-war/pom.xml::::project::::dependencies::::dependency_litemall-admin-api::::groupId::::org.linlinjava <-> litemall::::pom.xml::::project::::groupId::::org.linlinjava,litemall,project.dependencies.dependency_litemall-admin-api.groupId,org.linlinjava,ConfigType.NAME,litemall-all-war/pom.xml,maven,project.groupId,org.linlinjava,ConfigType.NAME,pom.xml,maven,Borderline,True,submodule live under groupId specified in parent module,True,False,True,True
value-equality,litemall::::litemall-wx-api/pom.xml::::project::::parent_litemall::::version::::version:0.1.0 <-> litemall::::pom.xml::::project::::version::::version:0.1.0,litemall,project.parent_litemall.version,version:0.1.0,ConfigType.VERSION_NUMBER,litemall-wx-api/pom.xml,maven,project.version,version:0.1.0,ConfigType.VERSION_NUMBER,pom.xml,maven,TRUE,True,,False,False,True,True
value-equality,litemall::::litemall-wx-api/pom.xml::::project::::dependencies::::dependency_weixin-java-pay::::exclusions::::exclusion_qrcode-utils::::groupId::::com.github.binarywang <-> litemall::::litemall-wx-api/pom.xml::::project::::dependencies::::dependency_weixin-java-pay::::groupId::::com.github.binarywang,litemall,project.dependencies.dependency_weixin-java-pay.exclusions.exclusion_qrcode-utils.groupId,com.github.binarywang,ConfigType.NAME,litemall-wx-api/pom.xml,maven,project.dependencies.dependency_weixin-java-pay.groupId,com.github.binarywang,ConfigType.NAME,litemall-wx-api/pom.xml,maven,Borderline,True,same dependency in different modules lives under same groupId,True,False,True,True
value-equality,litemall::::litemall-admin-api/pom.xml::::project::::dependencies::::dependency_litemall-db::::artifactId::::litemall-db <-> litemall::::litemall-db/pom.xml::::project::::artifactId::::litemall-db,litemall,project.dependencies.dependency_litemall-db.artifactId,litemall-db,ConfigType.NAME,litemall-admin-api/pom.xml,maven,project.artifactId,litemall-db,ConfigType.NAME,litemall-db/pom.xml,maven,TRUE,True,,False,True,True,True
value-equality,litemall::::litemall-core/pom.xml::::project::::dependencies::::dependency_weixin-java-miniapp::::artifactId::::weixin-java-miniapp <-> litemall::::litemall-wx-api/pom.xml::::project::::dependencies::::dependency_weixin-java-miniapp::::artifactId::::weixin-java-miniapp,litemall,project.dependencies.dependency_weixin-java-miniapp.artifactId,weixin-java-miniapp,ConfigType.NAME,litemall-core/pom.xml,maven,project.dependencies.dependency_weixin-java-miniapp.artifactId,weixin-java-miniapp,ConfigType.NAME,litemall-wx-api/pom.xml,maven,TRUE,True,,True,True,False,True
value-equality,litemall::::litemall-admin-api/pom.xml::::project::::dependencies::::dependency_litemall-db::::groupId::::org.linlinjava <-> litemall::::litemall-all-war/pom.xml::::project::::dependencies::::dependency_litemall-wx-api::::groupId::::org.linlinjava,litemall,project.dependencies.dependency_litemall-db.groupId,org.linlinjava,ConfigType.NAME,litemall-admin-api/pom.xml,maven,project.dependencies.dependency_litemall-wx-api.groupId,org.linlinjava,ConfigType.NAME,litemall-all-war/pom.xml,maven,FALSE,False,,False,False,True,False
value-equality,litemall::::litemall-all/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::executions::::execution_repackage::::configuration::::executable::::true <-> litemall::::litemall-db/pom.xml::::project::::build::::plugins::::plugin_mybatis-generator-maven-plugin::::configuration::::overwrite::::true,litemall,project.build.plugins.plugin_spring-boot-maven-plugin.executions.execution_repackage.configuration.executable,TRUE,ConfigType.BOOLEAN,litemall-all/pom.xml,maven,project.build.plugins.plugin_mybatis-generator-maven-plugin.configuration.overwrite,TRUE,ConfigType.BOOLEAN,litemall-db/pom.xml,maven,FALSE,False,,False,False,False,False
value-equality,litemall::::litemall-db/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-json::::groupId::::org.springframework.boot <-> litemall::::pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::groupId::::org.springframework.boot,litemall,project.dependencies.dependency_spring-boot-starter-json.groupId,org.springframework.boot,ConfigType.NAME,litemall-db/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-test.groupId,org.springframework.boot,ConfigType.NAME,pom.xml,maven,FALSE,False,,True,False,False,False
