dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,rating,final_rating,explanation,gpt-3.5-turbo_all,gpt-3.5-turbo_without,llama3:8b_all,gpt-4o_all,gpt-4o_without,llama3:70b_all,llama3:8b_without,llama3:70b_without
value-equality,spring-boot-admin::::spring-boot-admin-client/pom.xml::::project::::dependencies::::dependency_spring-boot-autoconfigure-processor::::optional::::true <-> spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-eureka/docker-compose.yml::::services::::customers::::environment::::EUREKA_INSTANCE_PREFER_IP_ADDRESS::::true,spring-boot-admin,project.dependencies.dependency_spring-boot-autoconfigure-processor.optional,TRUE,ConfigType.BOOLEAN,spring-boot-admin-client/pom.xml,maven,services.customers.environment.EUREKA_INSTANCE_PREFER_IP_ADDRESS,TRUE,ConfigType.ENVIRONMENT,spring-boot-admin-samples/spring-boot-admin-sample-eureka/docker-compose.yml,docker-compose,FALSE,False,,False,False,False,False,False,False,False,False
value-equality,spring-boot-admin::::spring-boot-admin-dependencies/pom.xml::::project::::dependencyManagement::::dependencies::::dependency_spring-boot-admin-server::::groupId::::de.codecentric <-> spring-boot-admin::::spring-boot-admin-starter-server/pom.xml::::project::::dependencies::::dependency_spring-boot-admin-server::::groupId::::de.codecentric,spring-boot-admin,project.dependencyManagement.dependencies.dependency_spring-boot-admin-server.groupId,de.codecentric,ConfigType.NAME,spring-boot-admin-dependencies/pom.xml,maven,project.dependencies.dependency_spring-boot-admin-server.groupId,de.codecentric,ConfigType.NAME,spring-boot-admin-starter-server/pom.xml,maven,Borderline,True,same dependeny lives under same group ID,True,True,,True,True,True,True,False
value-equality,spring-boot-admin::::pom.xml::::project::::profiles::::profile_coverage::::build::::plugins::::plugin_jacoco-maven-plugin::::artifactId::::jacoco-maven-plugin <-> spring-boot-admin::::spring-boot-admin-samples/pom.xml::::project::::profiles::::profile_travis::::build::::plugins::::plugin_jacoco-maven-plugin::::artifactId::::jacoco-maven-plugin,spring-boot-admin,project.profiles.profile_coverage.build.plugins.plugin_jacoco-maven-plugin.artifactId,jacoco-maven-plugin,ConfigType.NAME,pom.xml,maven,project.profiles.profile_travis.build.plugins.plugin_jacoco-maven-plugin.artifactId,jacoco-maven-plugin,ConfigType.NAME,spring-boot-admin-samples/pom.xml,maven,Borderline,False,same plugin but different profiles,True,False,True,False,False,,True,False
value-equality,spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-eureka/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-security::::groupId::::org.springframework.boot <-> spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-servlet/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-security::::groupId::::org.springframework.boot,spring-boot-admin,project.dependencies.dependency_spring-boot-starter-security.groupId,org.springframework.boot,ConfigType.NAME,spring-boot-admin-samples/spring-boot-admin-sample-eureka/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-security.groupId,org.springframework.boot,ConfigType.NAME,spring-boot-admin-samples/spring-boot-admin-sample-servlet/pom.xml,maven,Borderline,True,same dependency in different modules lives under same groupID,False,False,,False,False,True,True,False
value-equality,spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-servlet-graalvm/pom.xml::::project::::profiles::::profile_nativeTest::::dependencies::::dependency_junit-platform-launcher::::scope::::test <-> spring-boot-admin::::spring-boot-admin-server-cloud/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::scope::::test,spring-boot-admin,project.profiles.profile_nativeTest.dependencies.dependency_junit-platform-launcher.scope,test,ConfigType.UNKNOWN,spring-boot-admin-samples/spring-boot-admin-sample-servlet-graalvm/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-test.scope,test,ConfigType.UNKNOWN,spring-boot-admin-server-cloud/pom.xml,maven,FALSE,False,,False,True,,False,False,True,False,False
value-equality,spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-war/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::configuration::::addResources::::false <-> spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-zookeeper/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::configuration::::addResources::::false,spring-boot-admin,project.build.plugins.plugin_spring-boot-maven-plugin.configuration.addResources,FALSE,ConfigType.VERSION_NUMBER,spring-boot-admin-samples/spring-boot-admin-sample-war/pom.xml,maven,project.build.plugins.plugin_spring-boot-maven-plugin.configuration.addResources,FALSE,ConfigType.VERSION_NUMBER,spring-boot-admin-samples/spring-boot-admin-sample-zookeeper/pom.xml,maven,FALSE,False,,True,False,,False,False,False,False,False
value-equality,spring-boot-admin::::spring-boot-admin-server-cloud/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-kubernetes-fabric8::::optional::::true <-> spring-boot-admin::::spring-boot-admin-server-cloud/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter::::optional::::true,spring-boot-admin,project.dependencies.dependency_spring-cloud-starter-kubernetes-fabric8.optional,TRUE,ConfigType.BOOLEAN,spring-boot-admin-server-cloud/pom.xml,maven,project.dependencies.dependency_spring-cloud-starter.optional,TRUE,ConfigType.BOOLEAN,spring-boot-admin-server-cloud/pom.xml,maven,FALSE,False,,False,False,,False,False,False,False,False
value-equality,spring-boot-admin::::spring-boot-admin-server-ui/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-web::::optional::::true <-> spring-boot-admin::::spring-boot-admin-server-ui/pom.xml::::project::::profiles::::profile_noNpm::::build::::plugins::::plugin_frontend-maven-plugin::::configuration::::skip::::true,spring-boot-admin,project.dependencies.dependency_spring-boot-starter-web.optional,TRUE,ConfigType.BOOLEAN,spring-boot-admin-server-ui/pom.xml,maven,project.profiles.profile_noNpm.build.plugins.plugin_frontend-maven-plugin.configuration.skip,TRUE,ConfigType.IP_ADDRESS,spring-boot-admin-server-ui/pom.xml,maven,FALSE,False,,False,False,False,False,False,False,True,False
value-equality,spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-consul/src/main/resources/application.yml::::management.endpoints.web.path-mapping.health::::/ping <-> spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-consul/src/main/resources/application.yml::::spring.cloud.consul.discovery.metadata.health-path::::/ping,spring-boot-admin,management.endpoints.web.path-mapping.health,/ping,ConfigType.PATH,spring-boot-admin-samples/spring-boot-admin-sample-consul/src/main/resources/application.yml,spring,spring.cloud.consul.discovery.metadata.health-path,/ping,ConfigType.PATH,spring-boot-admin-samples/spring-boot-admin-sample-consul/src/main/resources/application.yml,spring,FALSE,False,,False,True,True,False,True,False,False,True
value-equality,spring-boot-admin::::spring-boot-admin-client/pom.xml::::project::::parent_spring-boot-admin-build::::version::::version:${revision} <-> spring-boot-admin::::spring-boot-admin-samples/spring-boot-admin-sample-consul/pom.xml::::project::::parent_spring-boot-admin-samples::::version::::version:${revision},spring-boot-admin,project.parent_spring-boot-admin-build.version,version:${revision},ConfigType.VERSION_NUMBER,spring-boot-admin-client/pom.xml,maven,project.parent_spring-boot-admin-samples.version,version:${revision},ConfigType.VERSION_NUMBER,spring-boot-admin-samples/spring-boot-admin-sample-consul/pom.xml,maven,Borderline,True,submodules have same version due to parameter that specifies the version,True,False,,True,True,True,True,True
