dependency_category,index,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,config_type,rating,final_rating,final_category,sub_category,explanation
value-equality,0,apollo::::apollo-audit/apollo-audit-api/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> apollo::::apollo-biz/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,apollo,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-api/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,apollo-biz/pom.xml,maven,correct,TRUE,TRUE,Version Numbers,POM Version,modelVersion has to be consistent across all modules and is generally set to 4.0.0 since it is the only supported version
value-equality,1,apollo::::apollo-adminservice/src/test/resources/application.properties::::spring.cloud.zookeeper.enabled::::false <-> apollo::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_findbugs-maven-plugin::::configuration::::failOnError::::false,apollo,spring.cloud.zookeeper.enabled,FALSE,ConfigType.BOOLEAN,apollo-adminservice/src/test/resources/application.properties,spring,project.build.pluginManagement.plugins.plugin_findbugs-maven-plugin.configuration.failOnError,FALSE,ConfigType.BOOLEAN,pom.xml,maven,correct,FALSE,FALSE,Boolean,Boolean,different options that are not related
value-equality,2,apollo::::pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_spring-boot-maven-plugin::::configuration::::attach::::false <-> apollo::::pom.xml::::project::::repositories::::repository_sonatype-nexus-snapshots::::releases::::enabled::::false,apollo,project.build.pluginManagement.plugins.plugin_spring-boot-maven-plugin.configuration.attach,FALSE,ConfigType.BOOLEAN,pom.xml,maven,project.repositories.repository_sonatype-nexus-snapshots.releases.enabled,FALSE,ConfigType.BOOLEAN,pom.xml,maven,correct,FALSE,FALSE,Boolean,Boolean,different options that are not related
value-equality,3,apollo::::apollo-assembly/src/main/resources/application.yml::::spring.cloud.zookeeper.enabled::::False <-> apollo::::apollo-configservice/src/main/resources/application.yml::::eureka.client.fetch-registry::::False,apollo,spring.cloud.zookeeper.enabled,FALSE,ConfigType.BOOLEAN,apollo-assembly/src/main/resources/application.yml,spring,eureka.client.fetch-registry,FALSE,ConfigType.BOOLEAN,apollo-configservice/src/main/resources/application.yml,spring,correct,FALSE,FALSE,Boolean,Boolean,different options that are not related
value-equality,4,apollo::::apollo-audit/apollo-audit-api/pom.xml::::project::::parent_apollo-audit::::groupId::::com.ctrip.framework.apollo <-> apollo::::apollo-configservice/pom.xml::::project::::parent_apollo::::groupId::::com.ctrip.framework.apollo,apollo,project.parent_apollo-audit.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-audit/apollo-audit-api/pom.xml,maven,project.parent_apollo.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-configservice/pom.xml,maven,correct,Borderline,TRUE,Multi-Maven-Modules,Project Inheritance,different modules but inherit groupID from parent POM
value-equality,5,apollo::::apollo-audit/apollo-audit-impl/pom.xml::::project::::version::::version:${revision} <-> apollo::::apollo-audit/apollo-audit-spring-boot-starter/pom.xml::::project::::version::::version:${revision},apollo,project.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-impl/pom.xml,maven,project.version,version:${revision},ConfigType.VERSION_NUMBER,apollo-audit/apollo-audit-spring-boot-starter/pom.xml,maven,correct,Borderline,TRUE,Multi-Maven-Modules,Maven Properties,"child POM inherit from parent POM, intended to be consistent"
value-equality,6,apollo::::apollo-audit/apollo-audit-impl/pom.xml::::project::::parent_apollo-audit::::groupId::::com.ctrip.framework.apollo <-> apollo::::apollo-biz/pom.xml::::project::::dependencies::::dependency_apollo-common::::groupId::::com.ctrip.framework.apollo,apollo,project.parent_apollo-audit.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-audit/apollo-audit-impl/pom.xml,maven,project.dependencies.dependency_apollo-common.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-biz/pom.xml,maven,correct,Borderline,TRUE,Multi-Maven-Modules,Project Inheritance,"modules do not specify their own groupID but inherit it from the parent module, whenever the module is used (inheritance, dependency, etc) the groupID has to be the same"
value-equality,7,apollo::::apollo-configservice/pom.xml::::project::::parent_apollo::::groupId::::com.ctrip.framework.apollo <-> apollo::::pom.xml::::project::::groupId::::com.ctrip.framework.apollo,apollo,project.parent_apollo.groupId,com.ctrip.framework.apollo,ConfigType.NAME,apollo-configservice/pom.xml,maven,project.groupId,com.ctrip.framework.apollo,ConfigType.NAME,pom.xml,maven,correct,Borderline,TRUE,Multi-Maven-Modules,Project Inheritance,sub modules specifies groupId of parent module
value-equality,8,apollo::::apollo-adminservice/src/test/resources/application.properties::::spring.jpa.properties.hibernate.show_sql::::false <-> apollo::::apollo-configservice/src/test/resources/application.properties::::spring.cloud.zookeeper.enabled::::false,apollo,spring.jpa.properties.hibernate.show_sql,FALSE,ConfigType.BOOLEAN,apollo-adminservice/src/test/resources/application.properties,spring,spring.cloud.zookeeper.enabled,FALSE,ConfigType.BOOLEAN,apollo-configservice/src/test/resources/application.properties,spring,correct,FALSE,FALSE,Boolean,Boolean,different options that are not related
value-equality,9,"apollo::::apollo-adminservice/src/test/resources/application.yml::::management.health.status.order::::DOWN, OUT_OF_SERVICE, UNKNOWN, UP <-> apollo::::apollo-portal/src/test/resources/application.yml::::management.health.status.order::::DOWN, OUT_OF_SERVICE, UNKNOWN, UP",apollo,management.health.status.order,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",ConfigType.UNKNOWN,apollo-adminservice/src/test/resources/application.yml,spring,management.health.status.order,"DOWN, OUT_OF_SERVICE, UNKNOWN, UP",ConfigType.UNKNOWN,apollo-portal/src/test/resources/application.yml,spring,correct,Borderline,FALSE,Others,Health Monitoring,"unless explicitly stated values can be different, for consistency purpose health management may requires equal values"
